2020-07-31 09:20:32, BAD
Temperature: 22 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
2020-07-31 09:21:46, BAD
Temperature is uncomfortably hot: 30.4 Celsius, BAD
Humidity is uncomfortably dry: 31.69 %, BAD
--
2020-07-31 16:59:21, BAD
Temperature: 22 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
2020-07-31 17:20:19, BAD
Temperature: 22 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
2020-07-31 17:50:44, BAD
Temperature: 22 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
2020-07-31 18:02:02, BAD
Temperature is uncomfortably hot: 31.08 Celsius, BAD
Humidity is uncomfortably dry: 31.88 %, BAD
--
2020-07-31 17:55:28, BAD
Temperature: 25 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
2020-07-31 17:55:28, BAD
Temperature: 25 Celsius, OK
Humidity is uncomfortably dry: 35 %, BAD
--
